CONTAINER ID   IMAGE                           COMMAND                 CREATED          STATUS          PORTS                      NAMES
f7c3aafb9630   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10507->51820/udp   wireguard_peer507
955228404dba   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10506->51820/udp   wireguard_peer506
7d9c35c89d21   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10505->51820/udp   wireguard_peer505
16196b369c66   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10504->51820/udp   wireguard_peer504
67159a571ff5   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10503->51820/udp   wireguard_peer503
fe96c3f434f5   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10502->51820/udp   wireguard_peer502
0842d177ba33   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10501->51820/udp   wireguard_peer501
07fca390c4e9   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10500->51820/udp   wireguard_peer500
8c4cf6cbc108   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10499->51820/udp   wireguard_peer499
6a6f2cc2a4d6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10498->51820/udp   wireguard_peer498
ac6a39158ecf   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10497->51820/udp   wireguard_peer497
3d7632e87fef   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10496->51820/udp   wireguard_peer496
abbe39caf8c8   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10495->51820/udp   wireguard_peer495
7015050a344b   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10494->51820/udp   wireguard_peer494
91ea56994169   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10493->51820/udp   wireguard_peer493
a9be318614de   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10492->51820/udp   wireguard_peer492
45f773c5da8e   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10491->51820/udp   wireguard_peer491
f1ff28612b31   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10490->51820/udp   wireguard_peer490
95d41a714b79   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10489->51820/udp   wireguard_peer489
c4ca797a822b   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10488->51820/udp   wireguard_peer488
28fca28555d5   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10487->51820/udp   wireguard_peer487
fd0dacaa3480   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10486->51820/udp   wireguard_peer486
09fded7bbc02   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10485->51820/udp   wireguard_peer485
aa76d6a872e3   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10484->51820/udp   wireguard_peer484
cb68c98dddf9   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10483->51820/udp   wireguard_peer483
7fb979590971   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10482->51820/udp   wireguard_peer482
5712a55c352c   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10481->51820/udp   wireguard_peer481
10701e5f546d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10480->51820/udp   wireguard_peer480
216118ac0930   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10479->51820/udp   wireguard_peer479
db9ce803e889   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10478->51820/udp   wireguard_peer478
9232a9553808   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10477->51820/udp   wireguard_peer477
0e6a4fbcb6c4   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10476->51820/udp   wireguard_peer476
54d545bf5861   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10475->51820/udp   wireguard_peer475
e5684315bff3   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10474->51820/udp   wireguard_peer474
7d2c7220c4be   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10473->51820/udp   wireguard_peer473
4241036b66cc   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10472->51820/udp   wireguard_peer472
7c8409f8a6e9   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10471->51820/udp   wireguard_peer471
c35293204675   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10470->51820/udp   wireguard_peer470
4c67762d7f8a   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10469->51820/udp   wireguard_peer469
4c8f50f72455   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10468->51820/udp   wireguard_peer468
626e4d62303c   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10467->51820/udp   wireguard_peer467
936fcb257b1f   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10466->51820/udp   wireguard_peer466
4d28e78437de   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10465->51820/udp   wireguard_peer465
d8997b3d2917   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10464->51820/udp   wireguard_peer464
890e2fbd3ba7   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10463->51820/udp   wireguard_peer463
7c42b8f4635d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10462->51820/udp   wireguard_peer462
33fd9506f6f9   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10461->51820/udp   wireguard_peer461
e08917a1317d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   32 minutes ago   Up 32 minutes   0.0.0.0:10460->51820/udp   wireguard_peer460
